mission_name,cat,region,role,dip_name,suffix,id,url
Chinese Consulate-General in Edinburgh(United Kingdom),consulate,Europe,Consul General,Ma Qiang,NA,t20071012_630302,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/200710/t20071012_630302.html
Chinese Embassy in Slovenia,embassy,Europe,Ambassador,Wang Shunqing,NA,t20071015_630093,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200710/t20071015_630093.html
Chinese Embassy in Senegal,embassy,Africa,Ambassador,Xiao Han,NA,t20071016_630001,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200710/t20071016_630001.html
Chinese Embassy in North Macedonia,embassy,Europe,Ambassador,Zhang Zuo,NA,t20071024_630105,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200710/t20071024_630105.html
Chinese Embassy in the Philippines,embassy,Asia,Ambassador,Huang Xilian,NA,t20071031_629905,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200710/t20071031_629905.html
Chinese Embassy in Tanzania,embassy,Africa,Ambassador,Chen Mingjian,NA,t20071031_629992,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200710/t20071031_629992.html
Chinese Embassy in Bulgaria,embassy,Europe,Ambassador,Dong Xiaojun,NA,t20071031_630141,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200710/t20071031_630141.html
Chinese Embassy in Antigua and Barbuda,embassy,Latin America,Ambassador,Sun Ang,NA,t20071031_630206,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200710/t20071031_630206.html
Chinese Embassy in Croatia,embassy,Europe,Ambassador,Xu Erwen,NA,t20071101_630139,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200711/t20071101_630139.html
Chinese Embassy in Venezuela,embassy,Latin America,Ambassador,Li Baorong,NA,t20071101_630168,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200711/t20071101_630168.html
Chinese Embassy in Argentine,embassy,Latin America,Ambassador,Zou Xiaoli,NA,t20071101_630204,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200711/t20071101_630204.html
Chinese Embassy in Central Africa,embassy,Africa,Ambassador,Chen Dong,NA,t20071106_630048,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200711/t20071106_630048.html
Chinese Consulate-General in Kuching (Malaysia),consulate,Asia,Consul General,Cheng Guangzhong,NA,t20071116_630234,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200711/t20071116_630234.html
Chinese Embassy in Saudi Arabia,embassy,Western Asia and North Africa,Ambassador,Chen Weiqing,NA,t20071210_629957,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200712/t20071210_629957.html
Chinese Embassy in Iran,embassy,Western Asia and North Africa,Ambassador,Chang Hua,NA,t20071210_629978,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200712/t20071210_629978.html
Chinese Embassy in Egypt,embassy,Western Asia and North Africa,Ambassador,Liao Liqiang,NA,t20071210_629979,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200712/t20071210_629979.html
Chinese Embassy in Madagascar,embassy,Africa,Ambassador,Guo Xiaomei,NA,t20071210_630019,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200712/t20071210_630019.html
Chinese Embassy in Coted'lvoire,embassy,Africa,Ambassador,Wan Li,NA,t20071210_630043,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200712/t20071210_630043.html
Chinese Embassy in Congo,embassy,Africa,Ambassador,Ma Fulin,NA,t20071210_630045,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200712/t20071210_630045.html
Chinese Embassy in Ireland,embassy,Europe,Ambassador,He Xiangdong,NA,t20071210_630119,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200712/t20071210_630119.html
Chinese Embassy in Greece,embassy,Europe,Ambassador,Xiao Junzheng,NA,t20071210_630125,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200712/t20071210_630125.html
Chinese Embassy in Albania,embassy,Europe,Ambassador,Zhou Ding,NA,t20071210_630148,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200712/t20071210_630148.html
Chinese Embassy in Uruguay,embassy,Latin America,Ambassador,Wang Gang,NA,t20071210_630170,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200712/t20071210_630170.html
Chinese Embassy in Namibia,embassy,Africa,Ambassador,Zhang Yiming,NA,t20071211_630010,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200712/t20071211_630010.html
Chinese Embassy in  Romania,embassy,Europe,Ambassador,Jiang Yu,NA,t20071211_630098,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200712/t20071211_630098.html
Chinese Embassy in Austria,embassy,Europe,Ambassador,Li Xiaosi,NA,t20071211_630146,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200712/t20071211_630146.html
Permanent Mission to the United Nations Economic and Social Commission for Asia and the Pacific(ESCAP),international_organizations,global,Permanent representative,Ke Yousheng,NA,t20071213_600631,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200712/t20071213_600631.html
Chinese Consulate-General in Durban (South Africa),consulate,Africa,Consul General,Fei Mingxing,NA,t20071217_630273,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2501_665366/200712/t20071217_630273.html
Chinese Embassy in Cyprus,embassy,Europe,Ambassador,Liu Yantao,NA,t20071225_630137,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200712/t20071225_630137.html
Chinese Consulate-General in Perth (Australia),consulate,North America and Oceania,Consul General,Dong Zhihua,NA,t20071229_630347,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200712/t20071229_630347.html
Chinese Embassy in Rwanda,embassy,Africa,Ambassador,Rao Hongwei,NA,t20080103_630005,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200801/t20080103_630005.html
Chinese Embassy in India,embassy,Asia,Ambassador,Sun Weidong,NA,t20080108_629930,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346/200801/t20080108_629930.html
Chinese Embassy in Bahrain,embassy,Western Asia and North Africa,Ambassador,An Wa'er,NA,t20080110_629981,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200801/t20080110_629981.html
Chinese Embassy in Germany,embassy,Europe,Ambassador,Wu Ken,NA,t20080118_630127,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200801/t20080118_630127.html
Chinese Embassy in D.R. Congo,embassy,Africa,Ambassador,Zhu Jing,NA,t20080123_630039,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200801/t20080123_630039.html
Chinese Consulate-General in Brisbane (Australia),consulate,North America and Oceania,Consul General,Xu Jie,NA,t20080131_630350,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200801/t20080131_630350.html
Mission of the People's Republic of China to the European Union,international_organizations,global,Ambassador,Zhang Ming,NA,t20080311_600633,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376/200803/t20080311_600633.html
Chinese Embassy in France,embassy,Europe,Ambassador,Lu Shaye,Concurrently Ambassador to Monaco,t20080311_630128,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200803/t20080311_630128.html
Chinese Consulate-General in Odessa (Ukraine),consulate,Europe and Central Asia,Consul General,Zhao Song Liqun,NA,t20080313_630283,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/200803/t20080313_630283.html
Chinese Consulate-General in New York(America),consulate,North America and Oceania,Consul General,Huang Ping,NA,t20080314_630354,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200803/t20080314_630354.html
Chinese Consulate-General in San Francisco (America),consulate,North America and Oceania,Consul General,Wang Donghua,NA,t20080314_630356,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2504_665372/200803/t20080314_630356.html
Chinese Consulate-General in Rio De Janeiro (Brazil),consulate,Latin America,Consul General,Li Yang,NA,t20080314_630371,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2505_665374/200803/t20080314_630371.html
Chinese Embassy in Equatorial Guinea,embassy,Africa,Ambassador,Qi Mei,NA,t20080324_630038,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200803/t20080324_630038.html
Chinese Embassy in Italy,embassy,Europe,Ambassador,Li Junhua,Concurrently Ambassador to San Marino,t20080324_630118,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2495_665354/200803/t20080324_630118.html
Chinese Embassy in Bahamas,embassy,Latin America,Ambassador,Huang Qinguo,NA,t20080324_630203,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200803/t20080324_630203.html
Chinese Consulate-General in Zanzibar (Tanzania),consulate,Africa,Consul General,Zhang Zhisheng,NA,t20080407_630270,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2501_665366/200804/t20080407_630270.html
Chinese Embassy in Ecuador,embassy,Latin America,Ambassador,Chen Guoyou,NA,t20080416_630186,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/200804/t20080416_630186.html
Chinese Embassy in Qatar,embassy,Western Asia and North Africa,Ambassador,Zhou Jian,NA,t20080429_629959,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200804/t20080429_629959.html
Chinese Embassy in Malawi,embassy,Africa,Ambassador,Liu Hongyang,NA,t20080605_630017,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/200806/t20080605_630017.html
Chinese Consulate-General in Kolkata (India),consulate,Asia,Consul General,Zha Liyou,NA,t20081014_630255,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/200810/t20081014_630255.html
Chinese Embassy in South Sudan,embassy,Western Asia and North Africa,Ambassador,Hua Ning,NA,t20081015_629955,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2492_665348/200810/t20081015_629955.html
