mission_name,cat,region,role,dip_name,suffix,id,url
Chinese Consulate-General in Belfast(United Kingdom),consulate,Europe,Consul General,Zhang Meifang,NA,t20170509_630299,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370/201705/t20170509_630299.html
Chinese Embassy in Dominican Republic,embassy,Latin America,Ambassador,Zhang Run,NA,t20170515_630188,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/201705/t20170515_630188.html
Chinese Embassy in Gambia,embassy,Africa,Ambassador,Ma Jianchun,NA,t20170518_630030,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/201705/t20170518_630030.html
Chinese Consulate-General in Vladivostok (Russia),consulate,Europe and Central Asia,Consul General,Yan Wenbin,NA,t20170525_630286,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/201705/t20170525_630286.html
Chinese Consulate-General in Kazan (Russia),consulate,Europe and Central Asia,Consul General,Wu Yingqin,NA,t20170527_630291,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368/201705/t20170527_630291.html
Chinese Consulate-General in Da Nang(Viet Nam),consulate,Asia,Consul General,Xi Hui,NA,t20170531_630210,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201705/t20170531_630210.html
Chinese Embassy in Sao Tome and Principe,embassy,Africa,Ambassador,Xu Yingzhen,NA,t20181126_630003,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350/201811/t20181126_630003.html
Chinese Consulate-General in Davao (Philippines),consulate,Asia,Consul General,Li Lin,NA,t20190220_630223,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362/201902/t20190220_630223.html
Chinese Embassy in Salvador,embassy,Latin America,Ambassador,Ou Jianhong,NA,t20190418_630175,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2497_665358/201904/t20190418_630175.html
Chinese Embassy in Kiribati,embassy,North America and Oceania,Ambassador,Tang Songgen,NA,t20200805_630161,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2496_665356/202008/t20200805_630161.html
