mission_name,cat,region,role,dip_name,suffix,id,url
Mission of the People's Republic of China to ASEAN,international_organizations,global,Ambassador,H.E. Mr. Deng Xijun,NA,t1035507,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376//t1035507.shtml
Chinese Consulate-General in Zamyn-Uud(Mongolia),consulate,Asia,Consul General,Li Yanjun,NA,t1088825,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362//t1088825.shtml
Chinese Consulate-General in Luang Prabang(Lao),consulate,Asia,Consul General,Li Zhigong,NA,t1104487,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362//t1104487.shtml
Chinese Consulate-General in Willemstad (Dutch Caribbean),consulate,Europe,Consul General,Li Yigang,NA,t1116239,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370//t1116239.shtml
Chinese Consulate-General in Khon Kaen (Thailand),consulate,Asia,Consul-General,Liao Junyun,NA,t1169764,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362//t1169764.shtml
Chinese Embassy in Somalia,embassy,Africa,Ambassador,Fei Shengchao,NA,t1201067,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2493_665350//t1201067.shtml
Chinese Consulate-General in Erbil (Iraq),consulate,Western Asia and North Africa,Consul General,Ni Ruchi,NA,t1213971,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2500_665364//t1213971.shtml
Chinese Consulate-General in Denpasar (Indonesia),consulate,Asia,ConsulGeneral,Zhu Xinglong,NA,t1218622,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2499_665362//t1218622.shtml
Mission of the People's Republic of China to the African Union,international_organizations,global,Ambassador,Liu Yuxi,NA,t1262684,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2506_665376//t1262684.shtml
Chinese Consulate-General in Recife (Brazil),consulate,Latin America,Consul General,Yan Yuqing,NA,t1287565,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2505_665374//t1287565.shtml
Chinese Consulate-General in Belfast (United Kingdom),consulate,Europe,Consul General,Wang Shuying,NA,t1290663,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2503_665370//t1290663.shtml
Chinese Consulate-General in Osh (Kyrghyz),consulate,Europe and Central Asia,Consul General,Cui Shaochun,NA,t1308185,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2498_665360/2502_665368//t1308185.shtml
Chinese Embassy in Afghanistan,embassy,Asia,Ambassador,Wang Yu,NA,t14373,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14373.shtml
Chinese Embassy in D.P.R.K.(the Democratic People's Republic of Korea),embassy,Asia,Ambassador,Li Jinjun,NA,t14374,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14374.shtml
Chinese Embassy in India,embassy,Asia,Ambassador,Sun Weidong,NA,t14375,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14375.shtml
Chinese Embassy in Indonesia,embassy,Asia,Ambassador,Xiao qian,NA,t14376,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zwjg_665342/2490_665344/2491_665346//t14376.shtml
