user_id,name,username,created_at,description,entities,location,profile_image_url,protected,followers_count,following_count,tweet_count,listed_count,like_count,url,verified,withheld,deleted,date_scraped
341458109,Russian Embassy in Kabul,RusEmbassyKabul,2011-07-24T11:44:05Z,Посольство России в Афганистане 🇷🇺🇦🇫 Russian Embassy in Afghanistan,,"Кабул, Афганистан",https://pbs.twimg.com/profile_images/1771281493425258496/Kao5N1Qy_normal.jpg,,16922,157,3241,204,1349,https://t.co/lfhIWhQM4j,,NA,FALSE,2024-04-15
795457524610768896,Russia in Mazar-e Sharif,RusCG_MZS,2016-11-07T02:47:07Z,"Official account of the Consulate General of Russia in Mazar-e Sharif
Follow us on Telegram:  https://t.co/HW1lCAaCWB",,"Afghanistan, Balkh province",https://pbs.twimg.com/profile_images/1197591663482417152/daN1iUDf_normal.jpg,,707,306,1875,34,3713,https://t.co/ZmKxG6wGAX,,NA,FALSE,2024-04-15
1374099271763558402,Russian Embassy in Albania,RussianAlbania,2021-03-22T20:49:32Z,"🇷🇺🇦🇱 Official twitter of the Russian Embassy in Albania
🇷🇺🇦🇱 Twitter zyrtar i Ambasadës Ruse në Shqipëri",,Tiranë,https://pbs.twimg.com/profile_images/1778815461494288384/eWDeBKp2_normal.jpg,,1148,307,1205,38,326,https://t.co/gT8LpLE63E,,NA,FALSE,2024-04-15
343283070,Ambassade de Russie,AmbRus_Algerie,2011-07-27T09:56:02Z,"L'Ambassade de Russie en Algérie  - page officielle,
Посольство Российской Федерации в АНДР - официальная страница.",,Alger                         ,https://pbs.twimg.com/profile_images/1198564501022527491/clFUogXo_normal.jpg,,10069,168,2427,116,363,https://t.co/JxINitpAHX,,NA,FALSE,2024-04-15
1428000388062617608,russembangola,russembangola4,2021-08-18T14:26:56Z,Embaixada da Federação da Rússia na República de Angola e São Tomé e Príncipe 🇷🇺🇦🇴🇸🇹 Russian Embassy in Angola and STP,,NA,https://pbs.twimg.com/profile_images/1428002171358957573/yQtglq3s_normal.jpg,,350,220,15,20,44,NA,,NA,FALSE,2024-04-15
340383579,"Embajada de Rusia,AR",EmbRusiaEnArgEs,2011-07-22T16:21:18Z,Embajada de la Federación de Rusia en la República Argentina (twitter Посольства на русском языке @EmbRusiaEnArgRu) https://t.co/OtVd5qQPvk,,Buenos Aires,https://pbs.twimg.com/profile_images/1774838935551692808/-C7MeUkq_normal.jpg,,19394,655,5641,162,3082,https://t.co/lgV7xu5LBf,,NA,FALSE,2024-04-15
2841375472,"Посольство России,AR",EmbRusiaEnArgRu,2014-10-22T17:54:37Z,Посольство России в Аргентине официальный Twitter аккаунт на русском языке (twitter de la Embajada de Rusia en Argentina en español @EmbRusiaEnArgEs),,Аргентина,https://pbs.twimg.com/profile_images/1774807372273262592/97AO7OL6_normal.jpg,,4479,589,6228,97,1880,https://t.co/8kU6HrIjo9,,NA,FALSE,2024-04-15
1649898636,ПосольствоРФвAрмении,rusembassyARM,2013-08-06T09:33:29Z,Посольство Российской Федерации в Республике Aрмения / Ռուսաստանի դեսպանատուն,,Ереван,https://pbs.twimg.com/profile_images/1774690214201487360/CZTUtZSF_normal.jpg,,3969,480,4721,91,472,https://t.co/zjmBwJhfX5,,NA,FALSE,2024-04-15
1021647173845430272,Генеральное консульство России в Гюмри 🇷🇺 🇦🇲,GyumriRussia,2018-07-24T06:44:02Z,Генеральное консульство России в г. Гюмри / Գյումրիում Ռուսաստանի Գլխավոր Հյուպատոսություն,,"3103, Армения, г. Гюмри, ул. Гарегина Нжде, д. 1",https://pbs.twimg.com/profile_images/1198531838307962880/nIXwgdmw_normal.jpg,,811,325,78,33,2,https://t.co/P2bbCMxHek,,NA,FALSE,2024-04-15
2393592282,Russia in Australia,RusEmbAU,2014-03-17T02:17:59Z,Russian Embassy in Australia - official Twitter feed. Официальный twitter-аккаунт Посольства России в Австралии.,,Canberra,https://pbs.twimg.com/profile_images/1772513678337925120/4Sw0uDJu_normal.jpg,,7975,1045,7070,185,3271,https://t.co/W5ZnIyuyWs,,NA,FALSE,2024-04-15
3001108415,RusBotschaft Wien,RusBotWien,2015-01-27T09:50:40Z,Offizieller Account der Botschaft der Russischen Föderation 🇷🇺 in der Republik Österreich | #Russland #Außenpolitik #Diplomatie | https://t.co/p9HwCBwMs6,,"Wien, Österreich",https://pbs.twimg.com/profile_images/1776172980562743296/9hyR9zF9_normal.jpg,,7702,547,10231,160,3180,https://t.co/T1eUidwSGB,,NA,FALSE,2024-04-15
3130735179,"ГК России, Зальцбург",RusConsSalzburg,2015-03-31T15:53:21Z,Официальный твиттер-аккаунт Генерального консульства Российской Федерации в Зальцбурге - Generalkonsulat der Russischen Föderation in Salzburg,,Зальцбург,https://pbs.twimg.com/profile_images/1772164706448420865/Jlzh6LeH_normal.jpg,,2157,348,5405,60,7380,https://t.co/zqrFymxCPN,,NA,FALSE,2024-04-15
897998810,Посольство России в Азербайджане,embrus_az,2012-10-22T17:10:18Z,Официальный аккаунт Посольства Российской Федерации в Азербайджанской Республике,,Баку,https://pbs.twimg.com/profile_images/1655883383291953153/IhfSYZ8L_normal.jpg,,6841,235,3089,113,1983,https://t.co/6Qxk0tlQjp,,NA,FALSE,2024-04-15
